,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4457.880,182.7,121536404.0,12.3
1,Microsoft Corporation,MSFT,3880.412,522.04,15496974.0,10.7
2,Apple Inc.,AAPL,3403.646,229.35,110755700.0,9.4
3,Alphabet Inc.,GOOGL,2440.606,201.42,39091350.0,6.7
4,Alphabet Inc.,GOOG,2439.291,202.09,23662102.0,6.7
5,"Amazon.com, Inc.",AMZN,2374.967,222.69,31104720.0,6.6
6,Bitcoin,BTC,2321.760,116648.83106382565,55529339269.39735,6.4
7,Berkshire Hathaway Inc.,BRK-B,2012.452,465.4,2516944.0,5.6
8,"Meta Platforms, Inc.",META,1932.453,769.3,7256204.0,5.3
9,Broadcom Inc.,AVGO,1434.417,304.97,12252646.0,4.0
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1254.256,241.83,10533955.0,3.5
11,"Tesla, Inc.",TSLA,1063.270,329.65,90602186.0,2.9
12,Walmart Inc.,WMT,827.809,103.73,10621643.0,2.3
13,JPMorgan Chase & Co.,JPM,794.018,288.76,5736496.0,2.2
14,Oracle Corporation,ORCL,702.348,250.05,7138433.0,1.9
15,Visa Inc.,V,648.841,336.78,4875432.0,1.8
16,Eli Lilly and Company,LLY,592.951,625.65,13314106.0,1.6
17,Mastercard Incorporated,MA,515.322,574.32,2907345.0,1.4
18,"Netflix, Inc.",NFLX,514.857,1211.64,3802607.0,1.4
19,Ethereum,ETH,486.756,4032.470301154254,41046033930.46828,1.3
20,Exxon Mobil Corporation,XOM,455.315,106.8,14412346.0,1.3
21,Costco Wholesale Corporation,COST,435.042,980.98,2127056.0,1.2
22,Palantir Technologies Inc.,PLTR,423.074,186.96,62299744.0,1.2
23,Johnson & Johnson,JNJ,417.438,173.33,7685885.0,1.2
24,"The Home Depot, Inc.",HD,385.883,387.85,2318857.0,1.1
