,name,symbol,market_cap,price,volume,type,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,150295195.0,CS,16.3
1,Microsoft Corporation,MSFT,3866.512,520.17,22434808.0,CS,14.4
2,Apple Inc.,AAPL,3436.888,231.59,54864147.0,CS,12.8
3,Alphabet Inc.,GOOGL,2471.839,203.9,34785039.0,CS,9.2
4,Alphabet Inc.,GOOG,2470.989,204.91,20101285.0,CS,9.2
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39378104.0,CS,9.1
6,Bitcoin,BTC,2344.719,117784.17631137471,68838481637.70567,CC,8.7
7,Berkshire Hathaway Inc.,BRK.B,2060.941,477.2,4381275.0,CS,7.7
8,"Meta Platforms, Inc.",META,1972.608,785.23,11277795.0,CS,7.3
9,Broadcom Inc.,AVGO,1440.861,306.34,21435708.0,CS,5.3
