,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,156602161.0,CS,1999-01-22 00:00:00+00:00,16.3
1,Microsoft Corporation,MSFT,3866.512,520.17,25213272.0,CS,1986-03-13 00:00:00+00:00,14.4
2,Apple Inc.,AAPL,3436.888,231.59,56038657.0,CS,1980-12-12 00:00:00+00:00,12.8
3,Alphabet Inc.,GOOG,2471.461,204.91,21111380.0,CS,2004-08-19 00:00:00+00:00,9.2
4,Alphabet Inc.,GOOGL,2471.451,203.9,34931422.0,CS,2004-08-19 00:00:00+00:00,9.2
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39649244.0,CS,1997-05-15 00:00:00+00:00,9.1
6,Bitcoin,BTC,2336.757,117378.61051189355,48046769000.329346,CC,2010-07-13 00:00:00+00:00,8.7
7,Berkshire Hathaway Inc.,BRK.B,2061.801,477.2,4381275.0,CS,1996-05-09 00:00:00+00:00,7.7
8,"Meta Platforms, Inc.",META,1972.608,785.23,13375361.0,CS,2012-05-18 00:00:00+00:00,7.3
9,Broadcom Inc.,AVGO,1440.861,306.34,22806938.0,CS,2009-08-06 00:00:00+00:00,5.3
