,name,symbol,market_cap,weighted
0,NVIDIA Corporation,NVDA,4374.188,14.1
1,Microsoft Corporation,MSFT,3814.677,12.3
2,Apple Inc.,AAPL,3122.329,10.0
3,"Amazon.com, Inc.",AMZN,2443.789,7.8
4,Alphabet Inc.,GOOG,2382.168,7.7
5,Alphabet Inc.,GOOGL,2382.168,7.7
6,Bitcoin,BTC,2355.715,7.6
7,"Meta Platforms, Inc.",META,1747.861,5.6
8,Broadcom Inc.,AVGO,1423.364,4.6
9,Taiwan Semiconductor Manufacturing Company Limited,TSM,1259.858,4.0
10,"Tesla, Inc.",TSLA,1029.048,3.3
11,Berkshire Hathaway Inc.,BRK-B,1026.276,3.3
12,JPMorgan Chase & Co.,JPM,832.699,2.7
13,Walmart Inc.,WMT,778.809,2.5
14,Eli Lilly and Company,LLY,720.355,2.3
15,Oracle Corporation,ORCL,703.893,2.3
16,Visa Inc.,V,680.377,2.2
