,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4457.880,182.7,121536404.0,20.9
1,Microsoft Corporation,MSFT,3880.412,522.04,15496974.0,18.2
2,Apple Inc.,AAPL,3403.646,229.35,110755700.0,16.0
3,Alphabet Inc.,GOOGL,2440.606,201.42,39091350.0,11.5
4,Alphabet Inc.,GOOG,2439.291,202.09,23662102.0,11.4
5,"Amazon.com, Inc.",AMZN,2374.967,222.69,31104720.0,11.1
6,Bitcoin,BTC,2318.603,116490.16121413202,54186828119.129585,10.9
