,symbol,name,market_cap,closing_price,type,volume,list_date,outstanding_shares,weighted
0,BTC,Bitcoin,1318.097,65918.86447813986,Crypto,1141323451761.5007,2010-07-13T00:00:00.000Z,19995743.0,85.0
1,ETH,Ethereum,232.999,1930.5225749421318,Crypto,676405741462.8335,2015-08-07T00:00:00.000Z,120692247.58083288,15.0
