built_2026-07-01,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00+00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,168545242.1109821,,9.7
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00+00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,45054539.3877215,,8.2
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00+00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,60703918.48879477,,7.9
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00+00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,25651949.563017033,,6.2
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00+00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,37040929.5330611,,6.2
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00+00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,55357492.554470465,,5.0
6,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00+00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,17706920.845705,,3.9
7,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00+00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,32072679.912893668,,3.3
8,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00+00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,13399884.418172399,,3.2
9,TSLA,Tesla Inc,1374.917,XNAS,2010-06-29 00:00:00+00:00,0001318605,BBG000N9MNX3,3325150000.0,,,US,Common Stock,46775668.11075673,,3.0
10,BTC,Bitcoin,1202.696,,2010-07-13 00:00:00+00:00,,,20050728,,,,Crypto,685718007860.5952,59982.64809323027,2.6
11,BRK.B,BERKSHIRE HATHAWAY Class B,1055.217,XNYS,1996-05-09 00:00:00+00:00,0001067983,BBG000DWG505,1378545639.0,68131,NE,,Common Stock,5521960.205449133,,2.3
12,ORCL,Oracle Corp,835.168,XNYS,1986-03-12 00:00:00+00:00,0001341439,BBG000BQLTW7,2841714000.0,78741,TX,,Common Stock,27474459.901079036,,1.8
13,JPM,JPMorgan Chase & Co,827.373,XNYS,1969-03-05 00:00:00+00:00,0000019617,BBG000DMBXR2,2749750000.0,,,US,Common Stock,9605344.656250767,,1.8
14,WMT,Walmart Inc.,811.955,XNYS,1970-10-01 00:00:00+00:00,0000104169,BBG000BWXBC2,7972851122.0,72716,AR,,Common Stock,25858130.498154897,,1.8
15,LLY,Eli Lilly & Co.,747.188,XNYS,1970-07-09 00:00:00+00:00,0000059478,BBG000BNBDC2,946456759.0,46285,IN,,Common Stock,3377908.9187147333,,1.6
16,V,Visa Inc,662.076,XNYS,2008-03-25 00:00:00+00:00,0001403161,BBG000PSKYX7,1926600000.0,,,US,Common Stock,8901618.0059582,,1.4
17,NFLX,Netflix Inc,518.444,XNAS,2002-05-23 00:00:00+00:00,0001065280,BBG000CL9VN6,424930000.0,,,US,Common Stock,42516339.5253802,,1.1
18,MA,Mastercard Inc,503.969,XNYS,2006-05-25 00:00:00+00:00,0001141391,BBG000F1ZSQ2,904010000.0,,,US,Common Stock,4065380.9359544,,1.1
19,XOM,Exxon Mobil Corp,490.593,XNYS,1980-03-17 00:00:00+00:00,0000034088,BBG000GZQ728,4263250000.0,,,US,Common Stock,18067322.6514091,,1.1
20,JNJ,Johnson & Johnson,459.318,XNYS,1944-09-25 00:00:00+00:00,0000200406,BBG000BMHYD1,2408340000.0,,,US,Common Stock,8670593.238316733,,1.0
21,PLTR,Palantir Technologies Inc,416.204,XNAS,2020-09-30 00:00:00+00:00,0001321655,BBG000N7QR55,2371340000.0,,,US,Common Stock,41651561.36713237,,0.9
22,COST,Costco Wholesale Corp,412.161,XNAS,1985-12-05 00:00:00+00:00,0000909832,BBG000F6H8W8,443240000.0,,,US,Common Stock,2684500.8074122667,,0.9
23,ABBV,AbbVie Inc,407.192,XNYS,2013-01-02 00:00:00+00:00,0001551152,BBG0025Y4RY4,1766560000.0,,,US,Common Stock,7698072.415245267,,0.9
24,HD,Home Depot Inc,374.017,XNYS,1984-04-19 00:00:00+00:00,0000354950,BBG000BKZB36,995390000.0,,,US,Common Stock,5557652.8962258,,0.8
25,BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",368.744,XNYS,2014-09-19 00:00:00+00:00,0001577552,BBG006G2JVL2,2384078936.0,,,,ADR,12142653.9423711,,0.8
26,BAC,Bank of America Corporation,360.348,XNYS,1973-01-02 00:00:00+00:00,0000070858,BBG000BCTLF6,7406947312.0,28255,NC,,Common Stock,38975305.34174983,,0.8
27,PG,Procter & Gamble Co,350.347,XNYS,1950-03-22 00:00:00+00:00,0000080424,BBG000BR2TH3,2340490000.0,,,US,Common Stock,9271770.377437066,,0.8
28,AMD,Advanced Micro Devices Inc,348.749,XNAS,1979-10-15 00:00:00+00:00,0000002488,BBG000BBQCY0,1622840000.0,,,US,Common Stock,32194192.711876668,,0.8
29,UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),321.061,XNYS,1984-10-17 00:00:00+00:00,0000731766,BBG000CH5208,905673625.0,55344,MN,,Common Stock,6952554.231189334,,0.7
30,SAP,SAP SE,309.237,XNYS,1995-09-18 00:00:00+00:00,0001000184,BBG000BDSLD7,1228504232.0,,,,ADR,2992619.395594533,,0.7
31,GE,GE Aerospace,309.107,XNYS,1892-06-23 00:00:00+00:00,0000040545,BBG000BK6MB5,1060439387.0,45215,OH,,Common Stock,5262355.998676733,,0.7
32,CVX,Chevron Corp,304.857,XNYS,1921-06-24 00:00:00+00:00,0000093410,BBG000K4ND22,2047390000.0,,,US,Common Stock,9944757.295813434,,0.7
33,KO,Coca-Cola Co,288.518,XNYS,1950-01-26 00:00:00+00:00,0000021344,BBG000BMX289,4303670000.0,,,US,Common Stock,19018234.9344356,,0.6
34,CSCO,Cisco Systems Inc,268.580,XNAS,1990-02-16 00:00:00+00:00,0000858877,BBG000C3J3C9,3953200000.0,,,US,Common Stock,26498379.621117868,,0.6
35,AZN,AstraZeneca PLC,262.087,XNAS,1993-05-18 00:00:00+00:00,0000901832,BBG000BZ0DK8,3101385926.0,,,,Common Stock,1982361.3260678665,,0.6
36,IBM,International Business Machines Corporation,258.795,XNYS,1949-01-28 00:00:00+00:00,0000051143,BBG000BLNNH6,929396575.0,10504,NY,,Common Stock,11386786.639477232,,0.6
