,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4457.880,182.7,121536404.0,13.9
1,Microsoft Corporation,MSFT,3880.412,522.04,15496974.0,12.1
2,Apple Inc.,AAPL,3403.646,229.35,110755700.0,10.7
3,Alphabet Inc.,GOOGL,2440.606,201.42,39091350.0,7.6
4,Alphabet Inc.,GOOG,2439.291,202.09,23662102.0,7.6
5,"Amazon.com, Inc.",AMZN,2374.967,222.69,31104720.0,7.4
6,Bitcoin,BTC,2319.030,116511.60502214574,54082187877.772545,7.3
7,Berkshire Hathaway Inc.,BRK-B,2012.452,465.4,2516944.0,6.3
8,"Meta Platforms, Inc.",META,1932.453,769.3,7256204.0,6.1
9,Broadcom Inc.,AVGO,1434.417,304.97,12252646.0,4.5
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1254.256,241.83,10533955.0,3.9
11,"Tesla, Inc.",TSLA,1063.270,329.65,90602186.0,3.3
12,Walmart Inc.,WMT,827.809,103.73,10621643.0,2.6
13,JPMorgan Chase & Co.,JPM,794.018,288.76,5736496.0,2.5
14,Oracle Corporation,ORCL,702.348,250.05,7138433.0,2.2
15,Visa Inc.,V,648.841,336.78,4875432.0,2.0
