,name,symbol,market_cap,price,volume,type,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,150295195.0,CS,13.4
1,Microsoft Corporation,MSFT,3866.512,520.17,22434808.0,CS,11.8
2,Apple Inc.,AAPL,3436.888,231.59,54864147.0,CS,10.5
3,Alphabet Inc.,GOOGL,2471.839,203.9,34785039.0,CS,7.5
4,Alphabet Inc.,GOOG,2470.989,204.91,20101285.0,CS,7.5
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39378104.0,CS,7.5
6,Bitcoin,BTC,2348.150,117956.39572656345,68389516579.99908,CC,7.2
7,Berkshire Hathaway Inc.,BRK.B,2060.941,477.2,4381275.0,CS,6.3
8,"Meta Platforms, Inc.",META,1972.608,785.23,11277795.0,CS,6.0
9,Broadcom Inc.,AVGO,1440.861,306.34,21435708.0,CS,4.4
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1238.956,238.88,7021597.0,ADRC,3.8
11,"Tesla, Inc.",TSLA,1066.205,330.56,72949844.0,CS,3.2
12,JPMorgan Chase & Co.,JPM,798.775,290.49,7301669.0,CS,2.4
13,Walmart Inc.,WMT,798.042,100.0,10028284.0,CS,2.4
14,Oracle Corporation,ORCL,697.376,248.28,11506982.0,CS,2.1
15,Visa Inc.,V,663.747,344.47,4088373.0,CS,2.0
16,Eli Lilly and Company,LLY,663.684,701.23,8116656.0,CS,2.0
