,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4343.688,178.02,171147190.0,CS,1999-01-22 00:00:00+00:00,13.3
1,Microsoft Corporation,MSFT,3770.327,507.23,24287463.0,CS,1986-03-13 00:00:00+00:00,11.6
2,Apple Inc.,AAPL,3380.049,227.76,42162846.0,CS,1980-12-12 00:00:00+00:00,10.4
3,Alphabet Inc.,GOOGL,2497.337,206.09,42559682.0,CS,2004-08-19 00:00:00+00:00,7.7
4,Alphabet Inc.,GOOG,2494.097,206.72,25616791.0,CS,2004-08-19 00:00:00+00:00,7.7
5,"Amazon.com, Inc.",AMZN,2440.556,228.84,35869661.0,CS,1997-05-15 00:00:00+00:00,7.5
6,Bitcoin,BTC,2328.266,116939.24103035335,80831408882.61215,CC,2010-07-13 00:00:00+00:00,7.1
7,Berkshire Hathaway Inc.,BRK.B,2111.074,489.0,3899290.0,CS,1996-05-09 00:00:00+00:00,6.5
8,"Meta Platforms, Inc.",META,1896.138,754.79,10556176.0,CS,2012-05-18 00:00:00+00:00,5.8
9,Broadcom Inc.,AVGO,1382.820,294.0,15922170.0,CS,2009-08-06 00:00:00+00:00,4.2
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1208.413,232.99,10062296.0,ADRC,1997-10-08 00:00:00+00:00,3.7
11,"Tesla, Inc.",TSLA,1096.718,340.02,91210793.0,CS,2010-06-29 00:00:00+00:00,3.4
12,JPMorgan Chase & Co.,JPM,814.586,296.24,7736464.0,CS,1969-03-05 00:00:00+00:00,2.5
13,Walmart Inc.,WMT,772.744,96.83,32261210.0,CS,1970-10-01 00:00:00+00:00,2.4
14,Visa Inc.,V,674.479,350.04,4957835.0,CS,2008-03-19 00:00:00+00:00,2.1
15,Eli Lilly and Company,LLY,673.575,711.68,3141830.0,CS,1970-07-09 00:00:00+00:00,2.1
16,Oracle Corporation,ORCL,663.923,236.37,8197635.0,CS,1986-03-12 00:00:00+00:00,2.0
