,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,156602161.0,CS,1999-01-22 00:00:00+00:00,13.4
1,Microsoft Corporation,MSFT,3866.512,520.17,25213272.0,CS,1986-03-13 00:00:00+00:00,11.8
2,Apple Inc.,AAPL,3436.888,231.59,56038657.0,CS,1980-12-12 00:00:00+00:00,10.5
3,Alphabet Inc.,GOOG,2471.461,204.91,21111380.0,CS,2004-08-19 00:00:00+00:00,7.5
4,Alphabet Inc.,GOOGL,2471.451,203.9,34931422.0,CS,2004-08-19 00:00:00+00:00,7.5
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39649244.0,CS,1997-05-15 00:00:00+00:00,7.5
6,Bitcoin,BTC,2336.757,117378.61051189355,48046769000.329346,CC,2010-07-13 00:00:00+00:00,7.1
7,Berkshire Hathaway Inc.,BRK.B,2061.801,477.2,4381275.0,CS,1996-05-09 00:00:00+00:00,6.3
8,"Meta Platforms, Inc.",META,1972.608,785.23,13375361.0,CS,2012-05-18 00:00:00+00:00,6.0
9,Broadcom Inc.,AVGO,1440.861,306.34,22806938.0,CS,2009-08-06 00:00:00+00:00,4.4
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1238.961,238.88,7021597.0,ADRC,1997-10-08 00:00:00+00:00,3.8
11,"Tesla, Inc.",TSLA,1066.205,330.56,72949844.0,CS,2010-06-29 00:00:00+00:00,3.3
12,JPMorgan Chase & Co.,JPM,798.775,290.49,7301669.0,CS,1969-03-05 00:00:00+00:00,2.4
13,Walmart Inc.,WMT,798.042,100.0,10028284.0,CS,1970-10-01 00:00:00+00:00,2.4
14,Oracle Corporation,ORCL,697.376,248.28,11506982.0,CS,1986-03-12 00:00:00+00:00,2.1
15,Visa Inc.,V,663.747,344.47,4088373.0,CS,2008-03-19 00:00:00+00:00,2.0
16,Eli Lilly and Company,LLY,663.684,701.23,8116656.0,CS,1970-07-09 00:00:00+00:00,2.0
